"Department","Category","Subcategory","Item"
"Store Dept.","Food & Beverage","Staff welfare","CADBURY (DAIRY MILK)"
"Store Dept.","Food & Beverage","Staff welfare","CADBURY (EXPRESS)"
"Store Dept.","Food & Beverage","Staff welfare","CADBURY - SILK (55/)"
"Store Dept.","Food & Beverage","Staff welfare","CADBURY 5 STAR"
"Store Dept.","Food & Beverage","Staff welfare","CADBURY 5 STAR (10/)"
"Store Dept.","Food & Beverage","Staff welfare","CADBURY BIG (DAIRY MILK)"
"Store Dept.","Food & Beverage","Staff welfare","CADBURY CELEBRATION ( SMALL)"
"Store Dept.","Printing & Stationary","Office Stationeries","CALCULATOR"
"Store Dept.","Printing & Stationary","Office Stationeries","CALENDAR (MCKV - GROUP)"
"Store Dept.","Madhusthali","Madhusthali items","CALENDER (MADHUSTHALI)(2013-14)"
"","Office Stationery",,"CAMEL ACRY COLOUR (500gm)"
"Store Dept.","Madhusthali","Madhusthali items","CAMEL ARTISTS COLOUR (500 ml) MV"
"Store Dept.","Madhusthali","Madhusthali items","CAMEL ARTISTS WATER COLOUR (9 ml)"
"Store Dept.","Stationary","Saleable","CAMEL OIL PASTEL 12 COLOUR"
"Store Dept.","Stationary","Saleable","CAMEL OIL PASTEL 24 COLOUR"
"Store Dept.","Stationary","Saleable","CAMEL PLASTIC CRAYONS (12 COLOUR)"
"Store Dept.","Stationary","Saleable","CAMEL PLASTIC CRAYONS (12) SALE ITEM"
"Store Dept.","Stationary","Saleable","CAMEL PLASTIC CRAYONS 24 COLOUR"
"","Gift",,"CANDEL SHOEPICE"
"Store Dept.","Accessories","General","CANDLE (SMALL)"
"Store Dept.","Accessories","General","CANDLE BIG"
"","Office Stationery",,"CANVAS (MCKV SCHOOL)"
"Store Dept.","Printing & Stationary","Classrooms","CANVAS CLOTH (FOR SUPW)"
"","Madhusthali",,"CANVAS M.V. (COLLEGE)"
"Store Dept.","Dress & Cloth","Caps","CAP (NO HORN)"
"Maintenance Dept.","Electrical","Capacitors","CAPACITOR"
"Maintenance Dept.","Plumbing","Pipes","Capling Cap"
"Store Dept.","Badges","Captains","CAPTAIN (BLUE)"
"Store Dept.","Badges","Captains","CAPTAIN (GREEN)"
"Store Dept.","Badges","Captains","CAPTAIN (RED)"
"Store Dept.","Badges","Captains","CAPTAIN (YELLOW)"
"","House Keeping",,"CAR DUSTING CLOTH"
"","Gift",,"CAR HANGING (GIFT ITEM)"
"Store Dept.","Printing & Stationary","Paper","CARBON PAPER (BLACK)"
"Store Dept.","Printing & Stationary","Paper","CARBON PAPER (BLUE)"
"Store Dept.","Flag and Banner","General","CAREER FAIR"
"Store Dept.","Printing & Stationary","Examinations","CAREER FAIR FOLDER"
"Store Dept.","Accessories","General","CARPET"
"Store Dept.","Decoration","General","CARTAIN"
"Store Dept.","Printing & Stationary","Paper","CARTRIDGE PAPER"
"Maintenance Dept.","Plumbing","General","CASCADE"
"Store Dept.","Printing & Stationary","Office Stationeries","CASH MEMO"
"Store Dept.","Gift","General","CASSEROLE"
"Store Dept.","Gift","General","CASSEROLE (3PCS) PRINCEWEAR"
"Maintenance Dept.","Electrical","Cassings","Cassing 1"""
"Maintenance Dept.","Electrical","Cassings","CASSING 1/2"""
"Maintenance Dept.","Electrical","Cassings","CASSING 3/4"""
"Maintenance Dept.","Plumbing","General","Caustic Soda"
"Maintenance Dept.","Electrical","Cables & Wires","CCTV Wire"
"","Gift",,"CD ALBUM"
"Store Dept.","Audio & Video System","CD Players","CD PLAYER"
"Store Dept.","Printing & Stationary","Pens","CD WRITER PEN (BLACK)"
"Store Dept.","Printing & Stationary","Pens","CD WRITER PEN (BLUE)"
"Store Dept.","Printing & Stationary","Pens","CD WRITER PEN (GREEN)"
"Store Dept.","Printing & Stationary","Pens","CD WRITER PEN (RED)"
"Maintenance Dept.","Electrical","Fans","Cealing Fan 48"""
"Maintenance Dept.","Electrical","Fans","Cealing Fan 56"""
"Maintenance Dept.","Electrical","Fans","CEILING FAN"
"Store Dept.","Printing & Stationary","Tapes","CELLO TAPE 1"" BIG"
"Store Dept.","Printing & Stationary","Tapes","CELLO TAPE 1/2"" BIG"
"Store Dept.","Printing & Stationary","Tapes","CELLO TAPE 2"" BIG"
"Store Dept.","Printing & Stationary","Tapes","CELLO TAPE 3"" BIG"
"Store Dept.","Printing & Stationary","Tapes","CELLO TAPE DISPENSER"
"Store Dept.","Printing & Stationary","Tapes","CELLO TAPE GLITER 1"""
"Store Dept.","Printing & Stationary","Tapes","CELLO TAPE GLITER 1/2"
"Store Dept.","Printing & Stationary","Tapes","CELLO TAPE SMALL 1/2'"
"Store Dept.","Printing & Stationary","Paper","CELLOPHANE PAPER (COLOUR)"
"Store Dept.","Printing & Stationary","Paper","CELLOPHANE PAPER (WHITE)"
"Store Dept.","Madhusthali","Madhusthali items","CELLOTAPE SMALL1/2"" (M.V.COLLEGE)"
